customer_id,created_at,last_updated,name,default_currency,account_manager,country
cust_000001,2023-01-24 00:00:00,2026-01-29 00:00:00,Customer 000001,USD,Chloe Smith,America
cust_000002,2023-01-24 00:00:00,2026-01-29 00:00:00,Customer 000002,AUD,Eva Patel,AU
cust_000003,2023-01-07 00:00:00,2026-01-29 00:00:00,Customer 000003,USD,Ben Carter,USA
cust_000004,2023-01-21 00:00:00,2026-01-29 00:00:00,Customer 000004,AUD,Eva Patel,AUS
cust_000005,2023-01-25 00:00:00,2026-01-29 00:00:00,Customer 000005,AUD,Ben Carter,AUS
cust_000006,2023-01-25 00:00:00,2026-01-29 00:00:00,Customer 000006,USD,Chloe Smith,United States
cust_000007,2023-01-20 00:00:00,2026-01-29 00:00:00,Customer 000007,USD,Chloe Smith,US
cust_000008,2023-01-13 00:00:00,2026-01-29 00:00:00,Customer 000008,USD,Alice Nguyen,US
cust_000009,2023-01-19 00:00:00,2026-01-29 00:00:00,Customer 000009,USD,Ben Carter,America
cust_000010,2023-01-03 00:00:00,2026-01-29 00:00:00,Customer 000010,USD,Ben Carter,United States of America
cust_000011,2023-01-27 00:00:00,2026-01-29 00:00:00,Customer 000011,USD,Chloe Smith,US
cust_000012,2023-01-23 00:00:00,2026-01-29 00:00:00,Customer 000012,USD,Alice Nguyen,US
cust_000013,2023-01-06 00:00:00,2026-01-29 00:00:00,Customer 000013,USD,Daniel Ruiz,USA
cust_000014,2023-01-22 00:00:00,2026-01-29 00:00:00,Customer 000014,USD,Chloe Smith,United States of America
cust_000015,2023-01-26 00:00:00,2026-01-29 00:00:00,Customer 000015,USD,Chloe Smith,USA
cust_000016,2023-01-23 00:00:00,2026-01-29 00:00:00,Customer 000016,USD,Chloe Smith,U.S.A.
cust_000017,2023-01-15 00:00:00,2026-01-29 00:00:00,Customer 000017,USD,Ben Carter,America
cust_000018,2023-01-09 00:00:00,2026-01-29 00:00:00,Customer 000018,AUD,Eva Patel,Aus
cust_000019,2023-01-05 00:00:00,2026-01-29 00:00:00,Customer 000019,USD,Eva Patel,United States of America
cust_000020,2023-01-21 00:00:00,2026-01-29 00:00:00,Customer 000020,AUD,Ben Carter,australia
cust_000021,2023-01-13 00:00:00,2026-01-29 00:00:00,Customer 000021,USD,Eva Patel,US
cust_000022,2023-01-28 00:00:00,2026-01-29 00:00:00,Customer 000022,USD,Chloe Smith,America
cust_000023,2023-01-25 00:00:00,2026-01-29 00:00:00,Customer 000023,USD,Chloe Smith,United States
cust_000024,2023-01-06 00:00:00,2026-01-29 00:00:00,Customer 000024,AUD,Daniel Ruiz,australia
