invoice_id,customer_id,created,status,due_date,fully_paid_on_date,total_amount,amount_due,currency_code,currency_rate_to_aud,subscription_id,repeating_invoice_id,salesperson
inv_000025,cust_000001,2025-01-02 08:29:00,PAID,2025-01-02 00:00:00,2025-01-02 00:00:00,79.00,0.00,USD,0.670613,sub_0000001,,Sofia Martinez
inv_000026,cust_000001,2025-02-02 17:04:00,PAID,2025-02-02 00:00:00,2025-02-02 00:00:00,79.00,0.00,USD,0.668523,sub_0000001,,Sofia Martinez
inv_000027,cust_000001,2025-03-02 15:03:00,PAID,2025-03-02 00:00:00,2025-03-11 00:00:00,79.00,0.00,USD,0.665661,sub_0000001,,Sofia Martinez
inv_000028,cust_000001,2025-04-02 16:47:00,PAID,2025-04-02 00:00:00,2025-04-02 00:00:00,79.00,0.00,USD,0.682530,sub_0000001,,Sofia Martinez
inv_000029,cust_000001,2025-05-02 10:00:00,PAID,2025-05-02 00:00:00,2025-05-24 00:00:00,79.00,0.00,USD,0.694823,sub_0000001,,Sofia Martinez
inv_000030,cust_000001,2025-06-02 15:37:00,PAID,2025-06-02 00:00:00,2025-06-11 00:00:00,79.00,0.00,USD,0.695368,sub_0000001,,Sofia Martinez
inv_000031,cust_000001,2025-07-02 11:27:00,PAID,2025-07-02 00:00:00,2025-07-02 00:00:00,79.00,0.00,USD,0.686538,sub_0000001,,Sofia Martinez
inv_000032,cust_000001,2025-08-02 14:51:00,PAID,2025-08-02 00:00:00,2025-08-02 00:00:00,79.00,0.00,USD,0.700130,sub_0000001,,Sofia Martinez
inv_000033,cust_000001,2025-09-02 15:23:00,PAID,2025-09-02 00:00:00,2025-09-02 00:00:00,79.00,0.00,USD,0.714902,sub_0000001,,Sofia Martinez
inv_000034,cust_000001,2025-10-02 13:22:00,PAID,2025-10-02 00:00:00,2025-10-02 00:00:00,79.00,0.00,USD,0.729372,sub_0000001,,Sofia Martinez
inv_000035,cust_000001,2025-11-02 18:04:00,PAID,2025-11-02 00:00:00,2025-11-02 00:00:00,79.00,0.00,USD,0.722563,sub_0000001,,Sofia Martinez
inv_000036,cust_000001,2025-12-02 08:06:00,PAID,2025-12-02 00:00:00,2025-12-02 00:00:00,79.00,0.00,USD,0.707987,sub_0000001,,Sofia Martinez
inv_000037,cust_000001,2026-01-02 10:57:00,PAID,2026-01-02 00:00:00,2026-01-02 00:00:00,79.00,0.00,USD,0.718853,sub_0000001,,Sofia Martinez
inv_000062,cust_000002,2025-01-04 15:02:00,PAID,2025-01-04 00:00:00,2025-01-04 00:00:00,99.00,0.00,AUD,1.000000,sub_0000002,,Priya Shah
inv_000063,cust_000002,2025-02-04 13:33:00,PAID,2025-02-04 00:00:00,2025-02-04 00:00:00,99.00,0.00,AUD,1.000000,sub_0000002,,Priya Shah
inv_000064,cust_000002,2025-03-04 18:30:00,PAID,2025-03-04 00:00:00,2025-03-04 00:00:00,99.00,0.00,AUD,1.000000,sub_0000002,,Priya Shah
inv_000065,cust_000002,2025-04-04 18:29:00,PAID,2025-04-04 00:00:00,2025-04-15 00:00:00,99.00,0.00,AUD,1.000000,sub_0000002,,Priya Shah
inv_000066,cust_000002,2025-05-04 15:17:00,PAID,2025-05-04 00:00:00,2025-05-04 00:00:00,99.00,0.00,AUD,1.000000,sub_0000002,,Priya Shah
inv_000067,cust_000002,2025-06-04 11:18:00,UNPAID,2025-06-04 00:00:00,,99.00,99.00,AUD,1.000000,sub_0000002,,Priya Shah
inv_000068,cust_000002,2025-07-04 07:56:00,PAID,2025-07-04 00:00:00,2025-07-04 00:00:00,99.00,0.00,AUD,1.000000,sub_0000002,,Priya Shah
inv_000069,cust_000002,2025-08-04 07:48:00,UNPAID,2025-08-04 00:00:00,,99.00,99.00,AUD,1.000000,sub_0000002,,Priya Shah
inv_000070,cust_000002,2025-09-04 10:52:00,PAID,2025-09-04 00:00:00,2025-09-04 00:00:00,99.00,0.00,AUD,1.000000,sub_0000002,,Priya Shah
inv_000071,cust_000002,2025-10-04 13:16:00,PAID,2025-10-04 00:00:00,2025-10-11 00:00:00,99.00,0.00,AUD,1.000000,sub_0000002,,Priya Shah
inv_000072,cust_000002,2025-11-04 15:22:00,PAID,2025-11-04 00:00:00,2025-11-04 00:00:00,99.00,0.00,AUD,1.000000,sub_0000002,,Priya Shah
